,year,month,lat,lon,depth,btm_sub,sfc_temp,sfc_salt,btm_temp,btm_salt,limfer_100m3
169,2000,2,36.805,-75.1567,29,3,9.68,35.098,9.71,35.181999999999995,0.0
170,2000,2,37.355,-75.28,26,3,5.42,33.454,5.44,33.510999999999996,0.0
171,2000,2,37.8867,-75.0333,22,3,4.7,33.265,4.69,33.271,0.0
172,2000,2,38.64,-74.4967,34,3,5.49,33.553000000000004,5.55,33.568000000000005,0.0
173,2000,2,40.9817,-70.4517,42,3,3.29,32.874,3.07,32.857,0.0
174,2000,2,40.9883,-71.8017,29,3,3.95,32.279,3.93,32.903,0.0
175,2000,2,40.78,-72.3683,32,3,4.14,32.523,4.24,33.049,0.0
176,2000,2,40.4817,-72.5533,43,3,6.45,33.902,6.08,33.893,0.0
177,2000,2,40.3,-73.4017,34,3,3.79,33.147,3.6,33.263000000000005,0.0
178,2000,2,39.98,-73.24,59,3,6.12,33.91,6.79,34.275,0.0
179,2000,2,39.9083,-72.4917,64,3,8.42,34.038000000000004,7.77,34.26,0.0
180,2000,2,39.8517,-71.7833,197,2,10.79,34.646,12.62,35.586,0.0
181,2000,2,40.1133,-71.9167,78,3,7.6,33.69,8.19,34.235,0.0
182,2000,2,40.4767,-71.7967,68,3,6.95,33.746,6.45,33.777,0.0
183,2000,2,40.1783,-71.2267,107,3,6.7,33.400999999999996,12.69,35.383,0.0
184,2000,2,40.2167,-70.76,121,3,7.6,33.656,13.92,35.743,0.0
185,2000,2,40.55,-70.9867,73,3,4.71,33.042,5.07,33.222,0.0
186,2000,2,40.4483,-70.1333,69,3,6.76,33.409,6.41,33.515,0.0
187,2000,2,39.9817,-69.9033,144,3,10.41,34.449,13.73,35.765,0.0
188,2000,2,40.0217,-69.725,124,3,8.09,33.541,13.75,35.726,0.0
189,2000,2,40.27,-69.25,88,3,6.86,33.091,5.7,33.279,0.0
190,2000,2,40.1133,-68.9383,156,3,6.61,33.099000000000004,12.97,35.653,0.0
191,2000,2,40.395,-68.8217,81,3,6.27,33.073,11.25,34.836,0.0
192,2000,2,40.5167,-68.3283,95,1,5.77,33.17,4.65,33.19,0.0
193,2000,3,35.7267,-74.935,57,3,13.15,35.465,9.93,34.858000000000004,0.0
194,2000,3,35.5433,-75.32,25,3,8.83,30.928,8.49,31.962,0.0
195,2000,3,36.045,-75.6,23,3,9.13,30.831999999999997,7.9,32.648,0.0
196,2000,3,36.6,-75.7217,23,3,7.4,32.72,7.41,32.728,0.0
